Indicator Type,County,Value
No_Insurance,51097,18.30
No_Insurance,51099,16.20
No_Insurance,51101,14.10
No_Insurance,51103,23.10
No_Insurance,51105,14.20
No_Insurance,51107,11.70
No_Insurance,51109,16.50
No_Insurance,51111,16.70
No_Insurance,51113,22.20
No_Insurance,51115,20.10
No_Insurance,51117,16.10
No_Insurance,51119,23.40
No_Insurance,51121,26.20
No_Insurance,51125,19.30
No_Insurance,51127,16.50
No_Insurance,51131,20.40
No_Insurance,51133,23.80
No_Insurance,51135,16.10
No_Insurance,51137,16.30
No_Insurance,51139,16.30
No_Insurance,51141,16.50
No_Insurance,51143,15.00
No_Insurance,51145,18.40
No_Insurance,51147,16.70
No_Insurance,51149,15.90
No_Insurance,51153,15.10
No_Insurance,51155,12.20
No_Insurance,51157,23.60
No_Insurance,51159,17.80
No_Insurance,51161,13.30
No_Insurance,51163,18.10
No_Insurance,51165,19.40
No_Insurance,51167,13.00
No_Insurance,51169,11.80
No_Insurance,51171,17.60
No_Insurance,51173,12.50
No_Insurance,51175,15.30
No_Insurance,51177,13.20
No_Insurance,51179,12.90
No_Insurance,51181,15.20
No_Insurance,51183,15.70
No_Insurance,51185,14.40
No_Insurance,51187,15.50
No_Insurance,51191,14.30
No_Insurance,51193,19.40
No_Insurance,51195,11.90
No_Insurance,51197,14.60
No_Insurance,51199,14.70
No_Insurance,51510,17.50
No_Insurance,51515,12.70
No_Insurance,51520,10.20
No_Insurance,51530,10.00
No_Insurance,51540,24.60
No_Insurance,51550,12.60
No_Insurance,51570,15.80
No_Insurance,51580,13.60
No_Insurance,51590,11.40
No_Insurance,51595,13.30
No_Insurance,51600,20.60
No_Insurance,51610,16.70
No_Insurance,51620,12.70
No_Insurance,51630,18.50
No_Insurance,51640,15.60
No_Insurance,51650,13.20
No_Insurance,51660,30.20
No_Insurance,51670,11.80
No_Insurance,51678,19.20
No_Insurance,51680,13.30
No_Insurance,51683,19.50
No_Insurance,51685,18.00
No_Insurance,51690,12.40
No_Insurance,51700,13.30
No_Insurance,51710,15.00
No_Insurance,51720,9.20
No_Insurance,51730,10.80
No_Insurance,51735,12.50
No_Insurance,51740,11.40
No_Insurance,51750,21.60
No_Insurance,51760,14.70
No_Insurance,51770,11.70
No_Insurance,51775,11.30
No_Insurance,51790,13.10
No_Insurance,51800,13.90
No_Insurance,51810,14.40
No_Insurance,51820,15.30
No_Insurance,51830,17.50
No_Insurance,51840,18.20
No_Insurance,51001,20.40
No_Insurance,51003,13.40
No_Insurance,51005,14.10
No_Insurance,51007,19.70
No_Insurance,51009,16.60
No_Insurance,51011,16.80
No_Insurance,51013,10.40
No_Insurance,51015,14.60
No_Insurance,51017,16.70
No_Insurance,51019,14.60
No_Insurance,51021,14.60
No_Insurance,51023,11.60
No_Insurance,51025,17.10
No_Insurance,51027,15.50
No_Insurance,51029,19.50
No_Insurance,51031,16.10
No_Insurance,51033,16.00
No_Insurance,51035,18.60
No_Insurance,51036,20.10
No_Insurance,51037,19.70
No_Insurance,51041,13.00
No_Insurance,51043,12.30
No_Insurance,51045,15.60
No_Insurance,51047,17.00
No_Insurance,51049,20.30
No_Insurance,51051,16.10
No_Insurance,51053,15.30
No_Insurance,51057,16.80
No_Insurance,51059,12.30
No_Insurance,51061,12.70
No_Insurance,51063,18.40
No_Insurance,51065,13.60
